idx,ppq,per_block_sample,per_block_exact_offset
0,0.0,0,0.0
1,0.010416666666666666,230,37.68749999999999
2,0.020833333333333332,459,11.374999999999975
3,0.03125,689,241.0625
4,0.041666666666666664,919,470.74999999999994
5,0.05208333333333333,1148,124.43749999999987
6,0.071875,1585,176.8437499999998
7,0.08229166666666667,1815,406.5312499999999
8,0.09270833333333332,2044,60.21874999999982
9,0.103125,2274,161.90624999999974
10,0.11354166666666665,2504,135.5937499999998
11,0.12395833333333332,2733,365.2812499999999
12,0.125,2756,388.2500000000001
13,0.13541666666666666,2986,41.937500000000064
14,0.14583333333333334,3216,143.62500000000028
15,0.15625,3445,117.31249999999974
16,0.16666666666666666,3675,346.99999999999955
17,0.17708333333333331,3905,0.6874999999997702
18,0.196875,4341,53.09375000000014
19,0.20729166666666665,4571,282.78124999999994
20,0.21770833333333334,4800,0.4687500000002606
21,0.228125,5030,38.156249999999794
22,0.23854166666666665,5260,11.843749999999853
23,0.24895833333333334,5490,241.53125000000026
24,0.25,5513,264.50000000000017
25,0.2604166666666667,5742,494.18750000000057
26,0.2708333333333333,5972,19.875000000000036
27,0.28125,6202,249.56250000000045
28,0.2916666666666667,6431,223.2500000000005
29,0.3020833333333333,6661,452.93749999999966
30,0.321875,7097,185.34375000000085
31,0.3322916666666667,7327,159.0312500000009
32,0.34270833333333334,7557,388.7187500000001
33,0.353125,7786,42.40625000000093
34,0.3635416666666667,8016,144.09375000000117
35,0.37395833333333334,8246,117.78125
36,0.375,8269,140.74999999999991
37,0.3854166666666667,8498,370.43750000000034
38,0.3958333333333333,8728,24.12499999999995
39,0.40625,8958,125.81250000000018
40,0.4166666666666667,9188,99.50000000000024
41,0.4270833333333333,9417,329.18749999999943
42,0.446875,9854,61.59375000000058
43,0.4572916666666667,10083,35.28125000000065
44,0.46770833333333334,10313,264.96874999999983
45,0.478125,10543,494.6562500000002
46,0.4885416666666667,10772,20.343750000000906
47,0.49895833333333334,11002,250.03125000000009
48,0.5,11025,16.99999999999966
49,0.5104166666666666,11255,246.68749999999883
50,0.5208333333333334,11484,476.37500000000045
51,0.53125,11714,2.0624999999999227
52,0.5416666666666666,11944,231.74999999999912
53,0.5520833333333334,12173,205.4375000000004
54,0.571875,12610,65.8437500000005
55,0.5822916666666667,12840,167.53124999999952
56,0.5927083333333334,13069,141.2187500000008
57,0.603125,13299,370.90625
58,0.6135416666666667,13529,24.5937499999996
59,0.6239583333333334,13758,126.28125000000105
60,0.625,13781,149.24999999999974
61,0.6354166666666666,14011,122.93749999999858
62,0.6458333333333334,14241,352.6250000000002
63,0.65625,14470,6.3124999999998375
64,0.6666666666666666,14700,107.99999999999885
65,0.6770833333333334,14930,81.68750000000013
66,0.696875,15366,6.0937500000015525
67,0.7072916666666667,15596,43.78124999999925
68,0.7177083333333334,15825,17.468750000000533
69,0.728125,16055,247.15624999999972
70,0.7385416666666667,16285,476.8437499999989
71,0.7489583333333334,16515,2.5312500000007954
72,0.75,16537,25.49999999999949
73,0.7604166666666666,16767,255.18749999999866
74,0.7708333333333334,16997,228.87499999999994
75,0.78125,17227,458.56249999999915
76,0.7916666666666666,17456,112.24999999999876
77,0.8020833333333334,17686,213.93750000000023
78,0.821875,18122,394.34374999999955
79,0.8322916666666667,18352,48.03124999999916
80,0.8427083333333334,18582,149.71875000000063
81,0.853125,18811,123.40624999999946
82,0.8635416666666667,19041,353.09374999999864
83,0.8739583333333334,19271,6.7812500000007105
84,0.875,19294,29.749999999999403
85,0.8854166666666666,19523,131.4374999999984
86,0.8958333333333334,19753,105.1249999999997
87,0.90625,19983,334.81249999999886
88,0.9166666666666666,20212,52.499999999999815
89,0.9270833333333334,20442,90.18749999999996
90,0.946875,20879,270.59374999999926
91,0.9572916666666667,21108,500.28124999999847
92,0.9677083333333334,21338,25.968750000000362
93,0.978125,21568,255.65624999999955
94,0.9885416666666667,21797,229.34375000000082
95,0.9989583333333334,22027,459.03125000000244
96,1.0,22050,482.00000000000114
97,1.0104166666666667,22280,7.687500000000602
98,1.0208333333333333,22509,237.37499999999733
99,1.03125,22739,211.0624999999986
100,1.0416666666666667,22969,440.7500000000002
101,1.0520833333333333,23198,94.43749999999987
102,1.071875,23635,146.8437499999966
103,1.0822916666666667,23865,376.5312499999982
104,1.0927083333333332,24094,30.21874999999783
105,1.103125,24324,131.90624999999685
106,1.1135416666666667,24554,105.59374999999812
107,1.1239583333333332,24783,335.2812499999949
108,1.125,24806,358.24999999999847
109,1.1354166666666667,25036,11.937500000002965
110,1.1458333333333333,25266,113.62499999999707
111,1.15625,25495,87.31249999999837
112,1.1666666666666667,25725,317.0
113,1.1770833333333333,25955,34.68749999999603
114,1.196875,26391,23.093749999996316
115,1.2072916666666667,26621,252.78124999999795
116,1.2177083333333332,26850,482.46874999999466
117,1.228125,27080,8.156249999996579
118,1.2385416666666667,27310,237.8437499999982
119,1.2489583333333332,27540,211.5312499999946
120,1.25,27562,234.49999999999818
121,1.2604166666666667,27792,464.18749999999983
122,1.2708333333333333,28022,117.87499999999945
123,1.28125,28252,219.56249999999844
124,1.2916666666666667,28481,193.24999999999974
125,1.3020833333333333,28711,422.9374999999965
126,1.321875,29147,155.34374999999642
127,1.3322916666666667,29377,129.0312499999977
128,1.3427083333333332,29607,358.71874999999443
129,1.353125,29836,12.406249999998941
130,1.3635416666666667,30066,114.09374999999795
131,1.3739583333333332,30296,87.78124999999434
132,1.375,30319,110.74999999999793
133,1.3854166666666667,30548,340.43749999999955
134,1.3958333333333333,30778,58.12500000000049
135,1.40625,31008,95.8124999999982
136,1.4166666666666667,31237,69.49999999999947
137,1.4270833333333333,31467,299.1874999999962
138,1.446875,31904,31.593749999996145
139,1.4572916666666667,32133,5.281249999997428
140,1.4677083333333332,32363,234.96874999999417
141,1.478125,32593,464.6562499999958
142,1.4885416666666667,32822,118.34375000000031
143,1.4989583333333332,33052,220.03124999999443
144,1.5,33075,242.999999999998
145,1.5104166666666667,33305,216.6874999999993
146,1.5208333333333333,33534,446.374999999996
147,1.53125,33764,100.06250000000055
148,1.5416666666666667,33994,201.74999999999957
149,1.5520833333333333,34223,175.43749999999594
150,1.571875,34660,35.84374999999851
151,1.5822916666666667,34890,137.53124999999753
152,1.5927083333333332,35119,111.2187499999988
153,1.603125,35349,340.90625000000045
154,1.6135416666666667,35579,58.593750000001364
155,1.6239583333333332,35808,96.28124999999417
156,1.625,35831,119.24999999999775
157,1.6354166666666667,36061,92.93750000000394
158,1.6458333333333333,36291,322.6250000000007
159,1.65625,36520,40.312500000001606
160,1.6666666666666667,36750,77.9999999999993
161,1.6770833333333333,36980,51.68750000000058
162,1.696875,37416,488.0937500000003
163,1.7072916666666667,37646,13.781249999997257
164,1.7177083333333332,37875,243.468749999994
165,1.728125,38105,217.15625000000017
166,1.7385416666666667,38335,446.8437500000018
167,1.7489583333333332,38565,100.53124999999653
168,1.75,38588,123.50000000000011
169,1.7604166666666667,38817,225.18750000000404
170,1.7708333333333333,39047,198.87500000000043
171,1.78125,39277,428.56250000000205
172,1.7916666666666667,39506,82.25000000000166
173,1.8020833333333333,39736,183.93750000000068
174,1.821875,40172,364.34375
175,1.8322916666666667,40402,18.03124999999962
176,1.8427083333333332,40632,119.71874999999864
177,1.853125,40861,93.40624999999991
178,1.8635416666666667,41091,323.09375000000153
179,1.8739583333333332,41321,40.781249999997584
180,1.875,41344,63.75000000000117
181,1.8854166666666667,41573,101.43750000000377
182,1.8958333333333333,41803,75.12500000000016
183,1.90625,42033,304.81250000000176
184,1.9166666666666667,42263,22.500000000002718
185,1.9270833333333333,42492,60.18750000000041
186,1.946875,42929,240.59374999999974
187,1.9572916666666667,43158,470.28125000000136
188,1.9677083333333332,43388,123.96874999999609
189,1.978125,43618,225.65625
190,1.9885416666666667,43847,199.34375000000128
191,1.9989583333333332,44077,429.031249999998
192,2.0,44100,452.0000000000016
193,2.0104166666666665,44330,105.68749999999633
194,2.0208333333333335,44559,207.37500000000026
195,2.03125,44789,181.06250000000153
196,2.0416666666666665,45019,410.74999999999824
197,2.0520833333333335,45248,64.43750000000767
198,2.071875,45685,116.84374999999459
199,2.0822916666666664,45915,346.5312499999913
200,2.0927083333333334,46144,0.21875000000073364
201,2.103125,46374,101.90624999999484
202,2.1135416666666664,46604,75.59374999999613
203,2.1239583333333334,46833,305.2812500000027
204,2.125,46856,328.25000000000136
205,2.1354166666666665,47086,45.937499999997385
206,2.1458333333333335,47316,83.62500000000487
207,2.15625,47545,57.31249999999637
208,2.1666666666666665,47775,286.9999999999931
209,2.1770833333333335,48005,4.687499999998934
210,2.196875,48441,249.09374999999469
211,2.2072916666666664,48671,222.78124999999596
212,2.2177083333333334,48900,452.4687500000025
213,2.228125,49130,106.1562500000021
214,2.2385416666666664,49360,207.84374999999622
215,2.2489583333333334,49590,181.5312499999975
216,2.25,49612,204.4999999999962
217,2.2604166666666665,49842,434.18749999999295
218,2.2708333333333335,50072,87.87500000000234
219,2.28125,50302,189.56249999999645
220,2.2916666666666665,50531,163.24999999999775
221,2.3020833333333335,50761,392.93750000000426
