idx,ppq,accum_sample,exact_sample,frac_in,frac_out
0,0.0,0,0.0,0.0,0.0
1,0.010416666666666666,230,229.6875,0.0,-0.3125
2,0.020833333333333332,459,459.375,-0.3125,0.0625
3,0.03125,689,689.0625,0.0625,0.125
4,0.041666666666666664,919,918.75,0.125,-0.125
5,0.05208333333333333,1148,1148.4375,-0.125,0.3125
6,0.071875,1585,1584.8437499999998,0.3125,0.15624999999977263
7,0.08229166666666667,1815,1814.53125,0.15624999999977263,-0.3125000000002274
8,0.09270833333333332,2044,2044.2187499999998,-0.3125000000002274,-0.09375000000045475
9,0.103125,2274,2273.90625,-0.09375000000045475,-0.18750000000045475
10,0.11354166666666665,2503,2503.5937499999995,-0.18750000000045475,0.4062499999990905
11,0.12395833333333332,2734,2733.28125,0.4062499999990905,-0.3125000000009095
12,0.125,2756,2756.25,-0.3125000000009095,-0.0625000000009095
13,0.13541666666666666,2986,2985.9375,-0.0625000000009095,-0.1250000000009095
14,0.14583333333333334,3215,3215.625,-0.1250000000009095,0.4999999999990905
15,0.15625,3446,3445.3125,0.4999999999990905,-0.1875000000009095
16,0.16666666666666666,3675,3675.0,-0.1875000000009095,-0.1875000000009095
17,0.17708333333333331,3904,3904.6874999999995,-0.1875000000009095,0.49999999999863576
18,0.196875,4342,4341.09375,0.49999999999863576,-0.40625000000136424
19,0.20729166666666665,4570,4570.78125,-0.40625000000136424,0.37499999999863576
20,0.21770833333333334,4801,4800.46875,0.37499999999863576,-0.15625000000136424
21,0.228125,5030,5030.15625,-0.15625000000136424,-1.3642420526593924e-12
22,0.23854166666666665,5260,5259.84375,-1.3642420526593924e-12,-0.15625000000136424
23,0.24895833333333334,5489,5489.53125,-0.15625000000136424,0.37499999999863576
24,0.25,5513,5512.5,0.37499999999863576,-0.12500000000136424
25,0.2604166666666667,5742,5742.1875,-0.12500000000136424,0.06249999999863576
26,0.2708333333333333,5972,5971.875,0.06249999999863576,-0.06250000000136424
27,0.28125,6201,6201.5625,-0.06250000000136424,0.49999999999863576
28,0.2916666666666667,6432,6431.25,0.49999999999863576,-0.25000000000136424
29,0.3020833333333333,6661,6660.9375,-0.25000000000136424,-0.31250000000136424
30,0.321875,7097,7097.343750000001,-0.31250000000136424,0.031249999999545253
31,0.3322916666666667,7327,7327.031250000001,0.031249999999545253,0.06250000000045475
32,0.34270833333333334,7557,7556.71875,0.06250000000045475,-0.21874999999954525
33,0.353125,7786,7786.406250000001,-0.21874999999954525,0.18750000000136424
34,0.3635416666666667,8016,8016.093750000001,0.18750000000136424,0.28125000000227374
35,0.37395833333333334,8246,8245.78125,0.28125000000227374,0.06250000000227374
36,0.375,8269,8268.75,0.06250000000227374,-0.18749999999772626
37,0.3854166666666667,8498,8498.4375,-0.18749999999772626,0.25000000000227374
38,0.3958333333333333,8728,8728.125,0.25000000000227374,0.37500000000227374
39,0.40625,8958,8957.8125,0.37500000000227374,0.18750000000227374
40,0.4166666666666667,9188,9187.5,0.18750000000227374,-0.31249999999772626
41,0.4270833333333333,9417,9417.1875,-0.31249999999772626,-0.12499999999772626
42,0.446875,9853,9853.59375,-0.12499999999772626,0.46875000000227374
43,0.4572916666666667,10084,10083.28125,0.46875000000227374,-0.24999999999772626
44,0.46770833333333334,10313,10312.96875,-0.24999999999772626,-0.28124999999772626
45,0.478125,10542,10542.65625,-0.28124999999772626,0.37500000000227374
46,0.4885416666666667,10773,10772.34375,0.37500000000227374,-0.28124999999772626
47,0.49895833333333334,11002,11002.03125,-0.28124999999772626,-0.24999999999772626
48,0.5,11025,11025.0,-0.24999999999772626,-0.24999999999772626
49,0.5104166666666666,11254,11254.6875,-0.24999999999772626,0.43750000000227374
50,0.5208333333333334,11485,11484.375,0.43750000000227374,-0.18749999999772626
51,0.53125,11714,11714.0625,-0.18749999999772626,-0.12499999999772626
52,0.5416666666666666,11944,11943.75,-0.12499999999772626,-0.37499999999772626
53,0.5520833333333334,12173,12173.4375,-0.37499999999772626,0.06250000000227374
54,0.571875,12610,12609.84375,0.06250000000227374,-0.09374999999772626
55,0.5822916666666667,12839,12839.53125,-0.09374999999772626,0.43750000000227374
56,0.5927083333333334,13070,13069.218750000002,0.43750000000227374,-0.3437499999959073
57,0.603125,13299,13298.90625,-0.3437499999959073,-0.4374999999959073
58,0.6135416666666667,13528,13528.59375,-0.4374999999959073,0.15625000000409273
59,0.6239583333333334,13758,13758.281250000002,0.15625000000409273,0.4375000000059117
60,0.625,13782,13781.25,0.4375000000059117,-0.3124999999940883
61,0.6354166666666666,14011,14010.9375,-0.3124999999940883,-0.3749999999940883
62,0.6458333333333334,14240,14240.625,-0.3749999999940883,0.2500000000059117
63,0.65625,14471,14470.3125,0.2500000000059117,-0.4374999999940883
64,0.6666666666666666,14700,14700.0,-0.4374999999940883,-0.4374999999940883
65,0.6770833333333334,14929,14929.6875,-0.4374999999940883,0.2500000000059117
66,0.696875,15366,15366.09375,0.2500000000059117,0.3437500000059117
67,0.7072916666666667,15596,15595.78125,0.3437500000059117,0.12500000000591172
