idx,ppq,mixed_sample,exact_sample,role
11545,120.26041666666667,2651742,2651742.1875,secondary
11546,120.27083333333333,2651971,2651971.875,secondary
11547,120.28125,2652201,2652201.5625,secondary
11548,120.29166666666667,2652431,2652431.25,secondary
11549,120.30208333333333,2652660,2652660.9375,secondary
11550,120.321875,2653097,2653097.34375,secondary
11551,120.33229166666668,2653327,2653327.03125,secondary
11552,120.34270833333333,2653557,2653556.71875,secondary
11553,120.353125,2653786,2653786.40625,secondary
11554,120.36354166666668,2654016,2654016.09375,secondary
11555,120.37395833333333,2654246,2654245.78125,secondary
11556,120.375,2654269,2654268.75,primary
11557,120.38541666666667,2654499,2654498.4375,secondary
11558,120.39583333333333,2654728,2654728.125,secondary
11559,120.40625,2654958,2654957.8125,secondary
